model,mean_acc,std
svm,0.9053542201478024,0.0029506126451636122
log_reg,0.8931860198922041,0.004177341598260942
sgd,0.8999868644774128,0.0030920602545452154
naive_bayes,0.8812176140467856,0.0020979357099258755
random_forest,0.8668492859921099,0.00700490389380467
